
FERNANDO MONTEIRO;92699;PP;PE;10965.68;10683.29;10265.13;10486.32;10356.96;10455.57;9601.38;10087.7
FERNANDO RODOLFO;204427;PL;PE;4518.74;27346.75;16050.06;2631.32;21545.95;25124.57;14754.98;15644.73
FILIPE BARROS;204411;PSL;PR;6496.67;10691.25;12866.01;11578.39;11293.51;10374.03;10705.53;8937.81
FLÁVIA ARRUDA;204354;PL;DF;7775.34;11062.65;5969.38;5185.38;5713.19;4582.07;7661.47;9489.77
FLÁVIA MORAIS;160598;PDT;GO;22932.39;24975.76;23897.33;6339.12;24016.54;6141.75;6229.69;6416.96
FLAVIANO MELO;141434;MDB;AC;27948.09;49012.44;26238.7;28401.87;29627.46;63465.91;30359.21;31837.97
FLÁVIO NOGUEIRA;191923;PDT;PI;16912.71;35465.2;23641.29;23788.48;10936.78;23128.94;26809.24;26536.69
FLORDELIS;204447;PSD;RJ;11279.4;12187.27;11859.73;12224.81;11366.12;13681.03;11511.4;9168.58
FRANCISCO JR.;204392;PSD;GO;28232.59;19378.23;31580.2;21150.76;28827.82;30083.92;25122.76;7297.91
FRANCO CARTAFINA;204510;PP;MG;1579.45;5677.56;8679.28;6208.28;8153.63;7047.55;7523.37;12644.9
FRED COSTA;204494;PATRIOTA;MG;3315.1;6323.16;8260.84;8509.37;8272.1;8318.99;8265.59;16316.12
FREI ANASTACIO RIBEIRO;204393;PT;PB;5831.13;7988.28;6548.18;6776.31;6564.55;6371.52;6048.61;6680.11
GASTÃO VIEIRA;74200;PROS;MA;0.0;8221.44;23856.24;27175.27;30688.5;45873.87;25303.41;8679.47
GELSON AZEVEDO;115746;PL;RJ;5630.09;5101.7;5368.51;38838.88;14397.73;24982.49;27523.3;18271.86
GENECIAS NORONHA;160669;SOLIDARIEDADE;CE;17483.62;20652.24;28479.78;23190.73;23810.43;52842.64;26799.5;10216.89
GENERAL GIRÃO;204473;PSL;RN;5359.29;1681.12;7411.99;7267.52;18153.25;13223.17;13207.6;14821.94
GENERAL PETERNELLI;204484;PSL;SP;5807.62;5462.03;5215.69;5767.82;5998.56;5734.3;5583.6;5851.19
GENINHO ZULIANI;204527;DEM;SP;8097.34;9523.5;8564.89;8023.1;7715.7;7942.45;7770.56;7231.44
GEOVANIA DE SÁ;178966;PSDB;SC;7065.74;3567.88;3773.11;3776.17;4110.47;3972.53;4319.08;4356.06
GERVÁSIO MAIA;204394;PSB;PB;8986.04;5684.21;4228.37;5318.1;4451.96;4827.82;4364.81;4662.36
GIACOBO;74383;PL;PR;32849.72;18197.99;46959.41;15349.58;39669.13;23800.49;21556.49;50990.39
GIL CUTRIM;204575;PDT;MA;12982.56;26400.91;27146.89;36521.37;31573.9;36307.46;35709.21;35828.05
GILBERTO ABRAMO;204491;REPUBLICANOS;MG;4025.99;2664.0;2630.06;2750.67;4090.73;2544.85;3906.76;4739.77
GILBERTO NASCIMENTO;74270;PSC;SP;28170.43;22922.44;20311.72;26065.87;24554.33;21596.57;26802.0;19271.89
GILDENEMYR;204570;PL;MA;11133.57;20493.83;8309.74;9919.83;22475.7;14806.18;20292.97;28032.61
GILSON MARQUES;204365;NOVO;SC;7106.56;5905.79;4716.9;4996.8;6645.52;10427.82;4449.33;5825.77
GIOVANI CHERINI;160673;PL;RS;9569.68;8559.92;10182.54;8462.38;8189.02;9929.76;8343.87;8969.52
GIOVANI FELTES;178996;MDB;RS;8318.55;8627.18;8663.54;8297.1;8023.88;8315.65;8078.14;8158.71
GLAUBER BRAGA;152605;PSOL;RJ;6401.46;7152.58;6474.7;8097.65;6121.6;6289.05;3600.97;3642.34
GLAUSTIN FOKUS;204419;PSC;GO;11508.38;7510.4;20493.86;34591.63;32797.77;29519.35;31692.89;32035.33
